pickup_hour,n_trips,avg_fare,avg_distance,avg_duration,avg_speed
0,5592,15.28,4.42,12.29,19.26
1,3341,14.74,4.16,12.46,18.55
2,2079,14.62,4.19,12.09,19.03
3,1393,14.81,4.25,12.05,19.41
4,1321,15.43,4.48,11.57,20.58
5,4513,12,3.31,9.27,18.81
6,13031,9.91,2.5,8.42,16.53
7,17936,10.46,2.6,9.59,15.28
8,21946,10.27,2.42,10.09,13.8
9,25190,10.4,2.41,10.45,13.21
10,28353,11.02,2.65,10.84,13.41
11,30891,11.01,2.62,10.89,13.23
12,33170,10.76,2.53,10.74,13.02
13,34458,10.62,2.47,10.72,12.89
14,35531,11.02,2.6,11.21,12.89
15,36249,11.96,2.91,12.28,13.09
16,34076,12.11,2.92,12.52,13.23
17,34212,12.49,3.13,12.43,14.12
18,30770,11.96,3.07,11.33,15.08
19,23499,11.62,3.04,10.64,15.89
20,16238,12.96,3.53,11.31,16.79
21,12906,13.96,3.9,11.82,17.45
22,10689,15.24,4.41,12.43,18.75
23,8193,15.39,4.45,12.27,19.25
